idShift,idEmployee,dateShift,timeStart,timeEnd,job,hoursWorked,statusShift
0,8,2024-04-26 13:45:44,13:08:29,18:08:29,Server,5,Completed
1,6,2024-10-08 14:38:18,15:41:29,20:41:29,Cook,5,Completed
2,4,2024-03-16 15:38:27,10:00:43,14:00:43,Server,4,Completed
3,3,2024-05-04 11:30:27,14:01:18,20:01:18,Server,6,Completed
4,4,2024-11-27 19:40:14,11:11:16,17:11:16,Server,6,Completed
5,2,2024-08-23 19:19:36,12:31:16,19:31:16,Server,7,Scheduled
6,12,2024-09-06 14:36:12,13:18:28,20:18:28,Cook,7,Completed
7,1,2024-03-19 12:26:53,14:13:19,20:13:19,Server,6,Completed
8,4,2024-11-04 17:08:25,10:43:05,15:43:05,Manager,5,Completed
9,5,2024-10-13 20:52:40,11:29:12,16:29:12,Cook,5,Scheduled
10,13,2024-08-31 12:25:52,10:06:23,18:06:23,Server,8,Scheduled
11,6,2024-09-05 14:45:47,13:18:53,20:18:53,Cook,7,Completed
12,1,2024-08-29 14:14:23,16:22:33,20:22:33,Manager,4,Completed
13,13,2024-06-02 11:04:00,12:12:16,19:12:16,Server,7,Completed
14,7,2024-09-24 19:48:21,12:49:01,19:49:01,Cook,7,Completed
15,6,2024-03-23 20:06:20,15:39:18,19:39:18,Server,4,Completed
16,10,2024-06-16 12:03:22,14:05:52,20:05:52,Cook,6,Completed
17,11,2024-05-11 13:11:59,16:47:41,20:47:41,Cook,4,Completed
18,0,2024-10-04 15:20:47,10:27:29,17:27:29,Manager,7,Scheduled
19,5,2024-05-09 17:14:11,16:15:38,20:15:38,Cook,4,Completed
20,13,2024-09-16 17:36:09,12:14:47,16:14:47,Server,4,Scheduled
21,9,2024-08-06 15:59:55,10:12:36,14:12:36,Manager,4,Scheduled
22,11,2024-04-30 16:31:29,16:16:11,20:16:11,Cook,4,Scheduled
23,1,2024-10-11 14:13:42,12:41:00,20:41:00,Manager,8,Completed
24,0,2024-10-23 18:24:34,16:16:21,20:16:21,Cook,4,Scheduled
25,0,2024-11-03 12:55:21,12:14:14,20:14:14,Manager,8,Scheduled
26,13,2024-03-10 18:20:32,16:48:08,20:48:08,Manager,4,Completed
27,10,2024-04-07 10:46:59,16:15:21,20:15:21,Cook,4,Scheduled
28,5,2024-06-11 18:38:18,14:19:01,20:19:01,Cook,6,Completed
29,11,2024-07-24 15:44:55,10:52:43,18:52:43,Manager,8,Scheduled
30,10,2024-07-08 19:16:20,10:29:56,18:29:56,Server,8,Completed
31,5,2024-06-25 19:02:51,12:40:30,19:40:30,Server,7,Scheduled
32,13,2024-11-01 10:41:27,11:32:02,19:32:02,Manager,8,Completed
33,4,2024-10-23 17:29:24,10:00:34,18:00:34,Cook,8,Completed
34,4,2024-06-26 11:33:54,12:59:15,18:59:15,Server,6,Completed
35,5,2024-04-08 14:19:25,11:39:03,15:39:03,Manager,4,Completed
36,11,2024-07-12 20:45:55,14:55:13,19:55:13,Server,5,Scheduled
37,9,2024-07-20 16:20:42,12:10:01,16:10:01,Server,4,Completed
38,8,2024-09-17 10:06:34,13:07:56,17:07:56,Cook,4,Scheduled
39,2,2024-07-22 11:39:46,16:12:51,20:12:51,Cook,4,Completed
40,8,2024-04-03 19:25:24,14:44:46,20:44:46,Cook,6,Scheduled
41,11,2024-07-25 12:09:43,11:22:56,16:22:56,Cook,5,Completed
42,0,2024-07-11 13:55:01,14:16:49,18:16:49,Manager,4,Completed
43,6,2024-11-12 16:08:00,13:04:09,19:04:09,Manager,6,Scheduled
44,12,2024-04-26 18:20:48,16:17:36,20:17:36,Cook,4,Scheduled
45,8,2024-08-24 13:35:54,15:13:34,19:13:34,Manager,4,Completed
46,14,2024-11-21 13:06:29,11:51:49,16:51:49,Server,5,Scheduled
47,8,2024-07-29 12:08:05,14:56:46,18:56:46,Cook,4,Scheduled
48,2,2024-09-23 15:38:50,16:57:56,20:57:56,Cook,4,Scheduled
49,3,2024-09-28 19:21:49,16:51:35,20:51:35,Server,4,Completed
50,7,2024-09-24 16:24:29,16:04:53,20:04:53,Manager,4,Completed
51,2,2024-09-04 13:08:31,10:35:18,18:35:18,Server,8,Completed
52,12,2024-04-13 20:54:48,14:56:48,19:56:48,Manager,5,Completed
53,0,2024-09-18 12:47:13,14:50:38,18:50:38,Server,4,Scheduled
54,9,2024-03-19 19:51:15,11:27:29,18:27:29,Cook,7,Scheduled
55,11,2024-10-04 16:26:07,10:32:16,14:32:16,Manager,4,Completed
56,2,2024-11-23 12:21:03,13:23:38,20:23:38,Cook,7,Scheduled
57,3,2024-07-01 12:43:09,10:27:27,17:27:27,Cook,7,Scheduled
58,5,2024-06-30 19:09:21,14:14:57,20:14:57,Server,6,Completed
59,10,2024-10-15 18:50:00,12:16:29,16:16:29,Manager,4,Scheduled
60,13,2024-07-28 10:49:09,10:53:45,16:53:45,Server,6,Completed
61,10,2024-09-28 11:12:05,16:46:42,20:46:42,Cook,4,Scheduled
62,2,2024-08-12 14:56:28,16:55:29,20:55:29,Manager,4,Completed
63,8,2024-03-28 20:42:23,11:27:23,18:27:23,Manager,7,Completed
64,0,2024-07-26 16:15:53,12:03:52,16:03:52,Cook,4,Scheduled
65,13,2024-11-21 18:38:35,14:04:24,20:04:24,Server,6,Completed
66,1,2024-10-09 15:21:50,12:52:25,20:52:25,Manager,8,Scheduled
